quarter_date,rank,permno,permco,ticker,comnam,mcap
2017-10-01,10,59408,3151,BAC,BANK OF AMERICA CORP,270291000000.0
2017-10-01,11,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,247294666519.99997
2017-10-01,12,66093,21645,T,A T & T INC,240135400000.0
2017-10-01,13,55976,21880,WMT,WALMART INC,234345996900.0
2017-10-01,14,18163,21446,PG,PROCTER & GAMBLE CO,234014784780.0
2017-10-01,15,14541,20440,CVX,CHEVRON CORP NEW,222530202290.00003
2017-10-01,16,21936,21394,PFE,PFIZER INC,214520878430.0
2017-10-01,17,12060,20792,GE,GENERAL ELECTRIC CO,212725733220.0
2017-10-01,18,10104,8045,ORCL,ORACLE CORP,203666116799.99997
2017-10-01,19,65875,20288,VZ,VERIZON COMMUNICATIONS INC,201359578880.0
2017-10-01,20,70519,20483,C,CITIGROUP INC,201072232799.99997
2017-10-01,21,66181,5085,HD,HOME DEPOT INC,193349728360.0
2017-10-01,22,92611,52983,V,VISA INC,192888772799.99997
2017-10-01,23,11308,20468,KO,COCA COLA CO,191085619200.0
2017-10-01,24,92655,7267,UNH,UNITEDHEALTH GROUP INC,190896838400.0
2017-10-01,25,59328,2367,INTC,INTEL CORP,182707200000.0
2017-10-01,26,89525,43613,CMCSA,COMCAST CORP NEW,177104496190.0
2017-10-01,27,22752,21188,MRK,MERCK & CO INC NEW,176050700700.0
2017-10-01,28,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,172201953560.0
2017-10-01,29,76076,10486,CSCO,CISCO SYSTEMS INC,167128515000.0
2017-10-01,30,16851,56027,DD,DUPONT DE NEMOURS INC,164499148240.0
2018-01-01,1,14593,7,AAPL,APPLE INC,876296215689.44
2018-01-01,2,10107,8048,MSFT,MICROSOFT CORP,662244750000.0
2018-01-01,3,84788,15473,AMZN,AMAZON COM INC,572950631538.72
2018-01-01,4,13407,54084,META,META PLATFORMS INC,434863739999.99994
2018-01-01,5,47896,20436,JPM,JPMORGAN CHASE & CO,374556921700.0
2018-01-01,6,22111,21018,JNJ,JOHNSON & JOHNSON,374044179599.99994
2018-01-01,7,14542,45483,GOOG,ALPHABET INC,372048165000.0
2018-01-01,8,11850,20678,XOM,EXXON MOBIL CORP,360281123180.0
2018-01-01,9,59408,3151,BAC,BANK OF AMERICA CORP,311875358599.99994
2018-01-01,10,38703,21305,WFC,WELLS FARGO & CO NEW,300823104490.0
2018-01-01,11,55976,21880,WMT,WALMART INC,292061142790.0
2018-01-01,12,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,263661840240.0
2018-01-01,13,14541,20440,CVX,CHEVRON CORP NEW,242322134920.0
2018-01-01,14,66093,21645,T,A T & T INC,236597060000.0
2018-01-01,15,18163,21446,PG,PROCTER & GAMBLE CO,229975242700.00003
2018-01-01,16,59328,2367,INTC,INTEL CORP,219585950000.0
2018-01-01,17,66181,5085,HD,HOME DEPOT INC,219571844470.0
2018-01-01,18,65875,20288,VZ,VERIZON COMMUNICATIONS INC,218372476730.00003
2018-01-01,19,21936,21394,PFE,PFIZER INC,217208163079.99997
2018-01-01,20,92655,7267,UNH,UNITEDHEALTH GROUP INC,214318857720.0
2018-01-01,21,92611,52983,V,VISA INC,207360777030.0
2018-01-01,22,70519,20483,C,CITIGROUP INC,196607988720.0
2018-01-01,23,11308,20468,KO,COCA COLA CO,194030775180.0
2018-01-01,24,10104,8045,ORCL,ORACLE CORP,193029641260.00003
2018-01-01,25,76076,10486,CSCO,CISCO SYSTEMS INC,192109150920.0
2018-01-01,26,89525,43613,CMCSA,COMCAST CORP NEW,190362078480.0
2018-01-01,27,19561,20315,BA,BOEING CO,176791670359.99997
2018-01-01,28,26403,20587,DIS,DISNEY WALT CO,168514127600.0
2018-01-01,29,16851,56027,DD,DUPONT DE NEMOURS INC,168245281000.0
2018-01-01,30,13856,21384,PEP,PEPSICO INC,167645200000.0
2018-04-01,1,14593,7,AAPL,APPLE INC,823946194327.18
2018-04-01,2,10107,8048,MSFT,MICROSOFT CORP,680718800000.0
2018-04-01,3,84788,15473,AMZN,AMAZON COM INC,665415145150.0
2018-04-01,4,13407,54084,META,META PLATFORMS INC,373857773479.99994
2018-04-01,5,47896,20436,JPM,JPMORGAN CHASE & CO,367812826349.99994
2018-04-01,6,14542,45483,GOOG,ALPHABET INC,351613303429.41
2018-04-01,7,22111,21018,JNJ,JOHNSON & JOHNSON,334149638400.00006
2018-04-01,8,11850,20678,XOM,EXXON MOBIL CORP,310266967640.0
2018-04-01,9,59408,3151,BAC,BANK OF AMERICA CORP,299666114130.0
2018-04-01,10,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,262269150000.0
2018-04-01,11,55976,21880,WMT,WALMART INC,253431694549.99997
2018-04-01,12,38703,21305,WFC,WELLS FARGO & CO NEW,250387375550.0
2018-04-01,13,66093,21645,T,A T & T INC,227982608100.00003
2018-04-01,14,59328,2367,INTC,INTEL CORP,227967200000.0
2018-04-01,15,14541,20440,CVX,CHEVRON CORP NEW,214406796720.0
2018-04-01,16,92611,52983,V,VISA INC,213412773750.0
2018-04-01,17,92655,7267,UNH,UNITEDHEALTH GROUP INC,210176403600.0
2018-04-01,18,21936,21394,PFE,PFIZER INC,208497939299.99997
2018-04-01,19,66181,5085,HD,HOME DEPOT INC,200091971427.30002
2018-04-01,20,76076,10486,CSCO,CISCO SYSTEMS INC,197566372170.0
2018-04-01,21,18163,21446,PG,PROCTER & GAMBLE CO,195125709600.00003
2018-04-01,22,65875,20288,VZ,VERIZON COMMUNICATIONS INC,194674782239.99997
2018-04-01,23,19561,20315,BA,BOEING CO,189344506560.0
2018-04-01,24,10104,8045,ORCL,ORACLE CORP,183744908130.0
2018-04-01,25,11308,20468,KO,COCA COLA CO,181966172330.0
2018-04-01,26,91233,50700,MA,MASTERCARD INC,177991423972.46
2018-04-01,27,70519,20483,C,CITIGROUP INC,173359673459.99997
2018-04-01,28,89525,43613,CMCSA,COMCAST CORP NEW,154449165440.00003
2018-04-01,29,13856,21384,PEP,PEPSICO INC,151903950000.0
2018-04-01,30,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,151502054200.00003
2018-07-01,1,14593,7,AAPL,APPLE INC,906497155630.8301
2018-07-01,2,84788,15473,AMZN,AMAZON COM INC,834610874609.9999
2018-07-01,3,10107,8048,MSFT,MICROSOFT CORP,767776770000.0
2018-07-01,4,13407,54084,META,META PLATFORMS INC,476229680000.00006
2018-07-01,5,14542,45483,GOOG,ALPHABET INC,394791379593.6
2018-07-01,6,47896,20436,JPM,JPMORGAN CHASE & CO,357773967159.99994
2018-07-01,7,11850,20678,XOM,EXXON MOBIL CORP,346158267840.00006
2018-07-01,8,22111,21018,JNJ,JOHNSON & JOHNSON,326095797000.0
2018-07-01,9,59408,3151,BAC,BANK OF AMERICA CORP,286740931120.0
2018-07-01,10,38703,21305,WFC,WELLS FARGO & CO NEW,274440263680.0
2018-07-01,11,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,252833642910.00003
2018-07-01,12,55976,21880,WMT,WALMART INC,247870896000.0
2018-07-01,13,92655,7267,UNH,UNITEDHEALTH GROUP INC,237823577880.0
2018-07-01,14,14541,20440,CVX,CHEVRON CORP NEW,237436407250.0
2018-07-01,15,92611,52983,V,VISA INC,236666730000.0
